Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
2,,PHI,Home,1993,52,29,0.642,3.89,257,81,68,13,3,21,755,725,371,326,57,268,16,52,629,20,3,34,3250,1.315,7.5,2.35,2920,725,140,20,57,51,21,0.248,0.314,0.368,0.683,268,629,1076,43,20,25,16,16,0.297,95,90
1,,PIT,Home,1994,32,29,0.525,4.35,202,61,55,6,1,11,556,577,291,269,61,174,18,26,364,23,5,13,2368,1.351,5.89,2.09,2129,577,117,9,61,46,20,0.271,0.33,0.42,0.751,174,364,895,56,23,25,17,18,0.3,90,100
2,,PIT,Home,1993,40,41,0.494,4.36,277,81,72,9,3,13,751,791,388,364,67,240,27,29,419,25,6,27,3214,1.373,5.02,1.75,2869,791,166,28,67,73,24,0.276,0.334,0.423,0.757,240,419,1214,69,25,54,25,27,0.301,95,110
1,,HOU,Home,1994,37,22,0.627,3.84,185,59,53,6,1,15,539,516,241,230,56,186,14,17,404,18,4,13,2265,1.302,6.75,2.17,2020,516,85,10,56,38,19,0.255,0.322,0.391,0.712,186,404,789,43,18,26,15,14,0.292,95,90
2,,HOU,Home,1993,44,37,0.543,3.11,229,81,69,12,7,17,734,664,285,254,56,213,27,30,570,19,8,26,3035,1.195,6.99,2.68,2751,664,110,12,56,59,19,0.241,0.299,0.351,0.65,213,570,966,54,19,38,14,27,0.284,91,81
1,,LAD,Home,1994,33,22,0.6,3.48,162,55,46,9,2,8,507,454,209,196,49,144,17,22,373,15,4,15,2088,1.179,6.62,2.59,1891,454,77,7,49,40,17,0.24,0.296,0.366,0.662,144,373,692,40,15,19,19,17,0.272,81,76
2,,LAD,Home,1993,41,40,0.506,3.17,246,81,71,10,4,15,747,703,318,263,48,273,33,49,530,14,9,24,3165,1.307,6.39,1.94,2811,703,107,11,48,68,41,0.25,0.317,0.347,0.665,273,530,976,51,14,45,21,33,0.291,94,85
1,,SDP,Home,1994,26,31,0.456,3.85,189,57,52,5,2,14,523,461,251,224,57,187,24,39,436,11,2,25,2202,1.239,7.5,2.33,1969,461,84,18,57,50,25,0.234,0.303,0.382,0.685,187,436,752,27,11,26,9,24,0.272,92,82
2,,SDP,Home,1993,34,47,0.42,3.79,289,81,76,5,1,12,752,725,376,317,79,258,35,56,527,19,5,29,3215,1.307,6.31,2.04,2860,725,110,23,79,64,40,0.253,0.316,0.391,0.707,258,527,1118,44,19,46,29,35,0.283,91,96
1,,CIN,Home,1994,37,22,0.627,3.84,207,60,58,2,0,15,555.1,525,263,237,65,183,11,18,426,15,7,23,2337,1.275,6.9,2.33,2097,525,103,13,65,44,20,0.25,0.314,0.405,0.718,183,426,849,32,15,30,11,11,0.284,97,91
2,,CIN,Home,1993,41,40,0.506,4.33,267,81,77,4,1,21,730,747,383,351,81,266,16,31,497,19,5,28,3141,1.388,6.13,1.87,2797,747,113,20,81,64,29,0.267,0.332,0.409,0.741,266,497,1143,58,19,37,22,16,0.297,96,105
