Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
6,,TEX,Home,2015,43,38,0.531,4.48,353,81,78,3,2,17,740,759,387,368,85,265,15,31,554,40,2,22,3198,1.384,6.74,2.09,2857,759,145,17,85,50,14,0.266,0.334,0.418,0.752,265,554,1193,81,40,10,23,15,0.301,102,114
7,,TEX,Home,2014,33,48,0.407,4.74,336,81,79,2,2,16,738,773,425,389,82,245,16,33,547,32,2,29,3182,1.379,6.67,2.23,2865,773,146,22,82,45,21,0.27,0.331,0.422,0.753,245,547,1209,69,32,10,29,16,0.305,97,119
15,,TEX,Home,2006,39,42,0.481,4.68,331,81,79,2,0,17,737,790,413,383,85,259,7,33,487,35,2,17,3220,1.423,5.95,1.88,2895,790,149,11,85,34,21,0.273,0.337,0.42,0.758,259,487,1216,67,35,8,23,7,0.301,98,102
21,,TEX,Home,2000,42,39,0.519,5.26,293,81,81,0,0,19,739,848,482,432,105,329,17,44,468,34,2,21,3356,1.593,5.7,1.42,2943,848,198,15,105,34,18,0.288,0.363,0.473,0.836,329,468,1391,75,34,19,31,17,0.309,98,118
23,,TEX,Home,1998,48,33,0.593,5.08,288,81,77,4,2,25,730,862,468,412,83,238,17,48,496,27,2,33,3267,1.507,6.12,2.08,2946,862,185,32,83,35,30,0.293,0.347,0.462,0.808,238,496,1360,46,27,16,40,17,0.324,104,118
24,,TEX,Home,1997,39,42,0.481,4.82,273,81,77,4,1,16,734,826,424,393,91,284,16,42,458,19,3,28,3255,1.512,5.62,1.61,2910,826,150,17,91,31,27,0.284,0.348,0.441,0.789,284,458,1283,63,19,12,30,16,0.307,101,113
5,,NYY,Home,2016,48,33,0.593,3.97,335,81,81,0,0,26,734,684,340,324,119,208,5,22,738,29,1,9,3070,1.215,9.05,3.55,2813,684,128,5,119,37,14,0.243,0.301,0.419,0.72,208,738,1179,47,29,9,10,5,0.287,96,97
8,,NYY,Home,2013,46,35,0.568,4.1,297,81,75,6,3,24,731,759,351,333,92,210,19,23,650,29,1,30,3121,1.326,8,3.1,2851,759,159,7,92,28,14,0.266,0.321,0.424,0.745,210,650,1208,59,29,13,16,19,0.314,104,111
14,,NYY,Home,2007,52,29,0.642,4.32,338,81,81,0,0,15,742,749,382,356,81,268,12,26,552,27,6,37,3178,1.371,6.7,2.06,2852,749,162,11,81,57,22,0.263,0.329,0.412,0.742,268,552,1176,72,27,8,23,12,0.298,96,99
19,,NYY,Home,2002,52,28,0.65,3.88,235,80,74,6,3,22,736,700,339,317,78,177,21,34,604,28,1,30,3067,1.192,7.39,3.41,2827,700,145,11,78,44,18,0.248,0.297,0.389,0.686,177,604,1101,47,28,18,17,21,0.288,95,87
